Input,Result,Assignment
cnf_1.cnf,UNSAT,
cnf_10.cnf,SAT,
cnf_100.cnf,UNSAT,
cnf_1000.cnf,UNSAT,
cnf_101.cnf,UNSAT,
cnf_102.cnf,SAT,
cnf_103.cnf,UNSAT,
cnf_104.cnf,SAT,
cnf_105.cnf,UNSAT,
cnf_106.cnf,UNSAT,
cnf_107.cnf,UNSAT,
cnf_108.cnf,UNSAT,
cnf_109.cnf,UNSAT,
cnf_11.cnf,UNSAT,
cnf_110.cnf,UNSAT,
cnf_111.cnf,SAT,
cnf_112.cnf,UNSAT,
cnf_113.cnf,UNSAT,
cnf_114.cnf,UNSAT,
cnf_115.cnf,UNSAT,
cnf_116.cnf,UNSAT,
cnf_117.cnf,UNSAT,
cnf_118.cnf,UNSAT,
cnf_119.cnf,SAT,
cnf_12.cnf,UNSAT,
cnf_120.cnf,SAT,
cnf_121.cnf,UNSAT,
cnf_122.cnf,UNSAT,
cnf_123.cnf,UNSAT,
cnf_124.cnf,UNSAT,
cnf_125.cnf,UNSAT,
cnf_126.cnf,UNSAT,
cnf_127.cnf,UNSAT,
cnf_128.cnf,UNSAT,
cnf_129.cnf,UNSAT,
cnf_13.cnf,UNSAT,
cnf_130.cnf,UNSAT,
cnf_131.cnf,UNSAT,
cnf_132.cnf,UNSAT,
cnf_133.cnf,SAT,
cnf_134.cnf,UNSAT,
cnf_135.cnf,SAT,
cnf_136.cnf,UNSAT,
cnf_137.cnf,SAT,
cnf_138.cnf,UNSAT,
cnf_139.cnf,UNSAT,
cnf_14.cnf,SAT,
cnf_140.cnf,UNSAT,
cnf_141.cnf,SAT,
cnf_142.cnf,SAT,
cnf_143.cnf,UNSAT,
cnf_144.cnf,UNSAT,
cnf_145.cnf,UNSAT,
cnf_146.cnf,UNSAT,
cnf_147.cnf,UNSAT,
cnf_148.cnf,UNSAT,
cnf_149.cnf,UNSAT,
cnf_15.cnf,UNSAT,
cnf_150.cnf,SAT,
cnf_151.cnf,UNSAT,
cnf_152.cnf,UNSAT,
cnf_153.cnf,UNSAT,
cnf_154.cnf,UNSAT,
